,booking,myheritage,cashcrate,clearvoicesurveys,gigasize,kickstarter,hq,canva,chegg,sharethis,dropbox,mixfiend,psiho,zynga,gogames,lekoolgames,evony,hautelook,shein,dubsmash,linkedin,mate1,myspace,edmodo,htcmania
dropbox,0.16975448822719283,0.551335729742177,0.06806166525482482,0.232866131067632,0.12110036506688808,0.2070295499851404,0.07136762584170946,0.012209919305961891,0.008450115043260983,0.23585291749787862,0.0,0.3966966147576023,0.20350337307565652,0.06436620404640023,0.1545519809369026,0.06361251129591011,0.14099187201515426,0.12821673231278896,0.07879922100766878,0.491104821882112,0.2677043904218936,0.18468371769518596,0.03706793883937783,0.04479521313837086,0.05758703211862236
mixfiend,0.8302751031519116,0.04686224464365415,0.10872448926851559,0.6053560875058596,0.09827671118376093,0.0459384281393998,0.45474762595620233,0.35476431792736124,0.34465150408616785,0.25615025716059897,0.3408997584555664,0.0,0.04148201970884901,0.15293939130661055,0.06415271622255973,0.14463480176960464,0.08769467190315593,0.06807366566170282,0.1756532829871544,0.24116543938385587,0.05255076611482114,0.07963711234606395,0.404859490985149,0.19017651133543814,0.12932877342562896
psiho,0.6509586822196416,0.13218019275112672,0.03985131256671339,0.49411240783565685,0.01712273186816187,0.02703397071289941,0.32657498402240415,0.24488971171881121,0.23584416235984365,0.1433401748611811,0.20636409993230098,0.04726226090972763,0.0,0.09700905882714074,0.012721900680568703,0.0512959822047169,0.009976015573274467,0.017321381644781936,0.14806237604540518,0.16982227868959468,0.02267613932593714,0.01898311244058492,0.29899966108169435,0.10819129763167051,0.05344831057690177
zynga,0.372944688237974,0.25487831807474154,0.01786755468799483,0.34298731366440843,0.06465093048089482,0.09299509160592002,0.17114763550784462,0.07139957697557167,0.061991450674130644,0.1287505325101707,0.061818930997356615,0.16284754614877198,0.07731898625753218,0.0,0.07529198265024449,0.05177779082465455,0.0670926504260069,0.025599825440422115,0.02510940779381186,0.38703710558332943,0.08802521232213109,0.11014579787124856,0.11194787451845141,0.04481551555730715,0.027626243581506137
gogames,0.5464114424566042,0.18305066960378313,0.02767632496926215,0.41374952777208523,0.00732836868206818,0.025269932850723226,0.2511598278791438,0.19229416797446638,0.18806253358715674,0.193845552546033,0.16576051513418502,0.08570355926956198,0.015161980776496324,0.09507341837376486,0.0,0.023925516632300855,0.011611241709817732,0.028998560010289626,0.12014885748313159,0.1745805681202621,0.06974741462752551,0.005754343728809023,0.23304227371203018,0.06798037441320103,0.0321342346586103
lekoolgames,0.3676234620573588,0.3195603163306518,0.012835287033861009,0.2845869495406385,0.018345890792313153,0.053251473628417874,0.15075972706771298,0.09714156251131312,0.09219489221606221,0.2085349426047456,0.07249455611100315,0.17699904568722424,0.058535256114633255,0.06508251455302444,0.024704897497569326,0.0,0.027992927283644317,0.04250689866467592,0.08814535402656279,0.24320470212848497,0.13192962315564896,0.03564790807829402,0.13059932458889295,0.030709757106601454,0.006750978847909667
evony,0.5647528641996835,0.2131207735776637,0.028684412005871473,0.43693066618363885,0.003798119114554549,0.038708346089148755,0.273782853055196,0.20429503890456316,0.1960210501571808,0.13416017100348038,0.1570935205393184,0.10077604143587636,0.01012686048372908,0.0936474039022752,0.011631890758399512,0.025274056246142863,0.0,0.021106569076715574,0.15249596465758866,0.16368538956916073,0.04759596289166848,0.013758635454161082,0.25702818004525974,0.08605507749276962,0.03591106724259272
hautelook,0.5116641683578518,0.1615174369801689,0.01194009963654489,0.41864622166480386,0.02237772147408615,0.042686121495207036,0.24204505106018348,0.14820888141404998,0.13866897876232573,0.10521295393421208,0.12272029467264989,0.07949252440201658,0.016122751232838732,0.02972727091872755,0.02611468313705239,0.0375106101283642,0.018690368217509908,0.0,0.07108465936679242,0.258648755573362,0.026302418345587927,0.04686974603128739,0.19765103366870923,0.06317427478858714,0.025744395351546847
shein,0.33188335373160704,0.26293739933680393,0.036435043108109924,0.31210029922347826,0.08707066629840504,0.10290246993527981,0.13550401901101305,0.06013903041161349,0.05833397434412054,0.2426689728817022,0.08036705884762296,0.18777362101491893,0.11335642240338206,0.02717054654642275,0.07889830254056183,0.06272201694547336,0.10492097978960033,0.06480255359958052,0.0,0.42411189525160947,0.1577892705888455,0.11740837100514674,0.08051566591622808,0.029393920642906933,0.03941315235027501
dubsmash,1.303483724037165,0.5092146757489685,0.38338352896282096,0.8888740288932094,0.21799726200914388,0.22471446135743683,0.8367037841895292,0.8260358260037147,0.8137627513159439,0.5421856681803505,0.6915053730329641,0.29024282647028854,0.2074655823217808,0.6352044196021833,0.21376231219615083,0.2920707834463387,0.19332675605346133,0.3514912055282291,0.7773094066531578,0.0,0.32554009045980875,0.14230753337053242,0.9050625302509117,0.5215785053532073,0.37557758241578526
linkedin,0.6875237515267847,0.10052714400249699,0.06149900236691931,0.5797931216388053,0.0518720170493734,0.07542942661677154,0.3618929512084762,0.2571061361576128,0.24710377076985868,0.08687257579054616,0.22310724710327257,0.059759138944722456,0.020304915561196065,0.08203186228543452,0.054277336261735074,0.09872189983834771,0.041497086873793707,0.021871929320641914,0.1385106120592455,0.2563332367664625,0.0,0.07206849514485292,0.31780773004515966,0.1343992848649946,0.08714846221706704
mate1,0.6192228569766189,0.2165483351826764,0.05486730009606362,0.45328786572248075,0.011853194985200093,0.033515664546971566,0.30279361994581455,0.25480885541584297,0.2502683194567408,0.2222608469731399,0.2127396664771735,0.10098260905041337,0.021511999807073738,0.1512561777610932,0.006123397808231956,0.035607786362690304,0.013583203830097812,0.05423601296326376,0.1915672592065315,0.12460562170859342,0.08865508126917786,0.0,0.2999372756508372,0.10542347770744702,0.05661427763891866
myspace,0.08669636341657788,0.6590980261453985,0.13474387040689112,0.19918290609273714,0.19033842284242442,0.2807456210240941,0.018734346127664996,0.008722168945744024,0.018801656685094446,0.4477523520396367,0.03938916438390937,0.5217304430262834,0.3121775591487035,0.1491795805235769,0.2032001523815103,0.10846484580323475,0.23869463482105802,0.23767544150925968,0.08315257547847694,0.5937060001843995,0.4379003966223354,0.23676116009821763,0.0,0.04625656789098605,0.11022066415569491
edmodo,0.2430505304015917,0.36585823600986944,0.03752181442460979,0.2882312051316881,0.0575360014700898,0.1349684585916467,0.06865214915840864,0.03489071767954847,0.04112113335990769,0.24572379648662712,0.04468158964470456,0.2808227549586195,0.1274267415573186,0.06380916494945896,0.06483455547989671,0.02979441163118133,0.08901163224923588,0.08902892888888522,0.033613429363039384,0.37997991322397234,0.20406620310042733,0.090109852209206,0.04888314625142286,0.0,0.03201552375797688
htcmania,0.3535990825644567,0.2913492134028158,0.003446981897516975,0.26684388409841825,0.029815701189774904,0.04536822120265574,0.1456912071581376,0.07506734026055152,0.0674992735102101,0.20055067135498245,0.05939434948389101,0.153562837296171,0.05862729161226424,0.03201878073237835,0.03220662747066316,0.006296637095400381,0.03644180806720904,0.02924377547896821,0.05072362743515675,0.2851950687320599,0.11884458612956633,0.052256068606829055,0.10837020737675471,0.025310053304018698,0.0
